bid_id,tender_id,tender_title,tender_category,evaluation_window,vendor_id,vendor_name,bid_amount,submission_timestamp,vendor_address,is_winner,procurement_official,audit_status,audit_notes
BID-2024-001,TND-901,Metropolitan Fiber Optic Expansion,Municipal IT & Cybersecurity,2024-Q1,VND-101,Vanguard Tech Solutions,3450000.00,2024-01-15T09:14:22,88 Industrial Pkwy Ste 3B Capital City,1,Director Arthur Vance,Pending Review,
BID-2024-002,TND-901,Metropolitan Fiber Optic Expansion,Municipal IT & Cybersecurity,2024-Q1,VND-102,CyberCore Systems Ltd,3520000.00,2024-01-15T09:14:41,88 Industrial Pkwy Ste 3B Capital City,0,Director Arthur Vance,Pending Review,
BID-2024-003,TND-901,Metropolitan Fiber Optic Expansion,Municipal IT & Cybersecurity,2024-Q1,VND-103,BlueWave Telecom,4950000.00,2024-01-15T16:45:10,1240 Bay Blvd Metro City,0,Director Arthur Vance,Pending Review,
BID-2024-004,TND-902,Highway 104 Overpass Structural Rehabilitation,Civil Infrastructure,2024-Q1,VND-104,Apex Infrastructure Ltd,8950000.00,2024-02-02T11:03:15,742 Evergreen Terr Suite 404,1,Director Arthur Vance,Under Review,Initial collusion flag triggered by shared address
BID-2024-005,TND-902,Highway 104 Overpass Structural Rehabilitation,Civil Infrastructure,2024-Q1,VND-105,Summit Horizons Corp,9120000.00,2024-02-02T11:03:33,742 Evergreen Terr Suite 404,0,Director Arthur Vance,Under Review,Twin bid submitted 18s after Apex
BID-2024-006,TND-902,Highway 104 Overpass Structural Rehabilitation,Civil Infrastructure,2024-Q1,VND-106,Keystone Paving & Concrete,14800000.00,2024-02-02T17:10:04,500 Quarry Rd Stoneville,0,Director Arthur Vance,Pending Review,
BID-2024-007,TND-903,Regional Oncology Ward Specialized HVAC Retrofit,Healthcare Medical Supplies,2024-Q1,VND-107,AeroClean Air Systems,6450000.00,2024-02-18T10:15:00,312 Medical Mile Boston,1,Elena Rostova,Pending Review,
BID-2024-008,TND-903,Regional Oncology Ward Specialized HVAC Retrofit,Healthcare Medical Supplies,2024-Q1,VND-108,BioVent Global,6520000.00,2024-02-18T10:55:12,900 Pharma Way Cambridge,0,Elena Rostova,Pending Review,
BID-2024-009,TND-903,Regional Oncology Ward Specialized HVAC Retrofit,Healthcare Medical Supplies,2024-Q1,VND-109,Meridian MedTech,12900000.00,2024-02-18T15:30:22,45 Enterprise Dr Worcester,0,Elena Rostova,Pending Review,
BID-2024-010,TND-904,Municipal Cloud Data Center Migration,Municipal IT & Cybersecurity,2024-Q1,VND-101,Vanguard Tech Solutions,2890000.00,2024-03-01T08:30:10,88 Industrial Pkwy Ste 3B Capital City,1,Marcus Sterling,Pending Review,
BID-2024-011,TND-904,Municipal Cloud Data Center Migration,Municipal IT & Cybersecurity,2024-Q1,VND-110,Nimbus Cloud Innovations,3100000.00,2024-03-01T14:12:00,10 Tech Crest Silicon Hills,0,Marcus Sterling,Pending Review,
BID-2024-012,TND-904,Municipal Cloud Data Center Migration,Municipal IT & Cybersecurity,2024-Q1,VND-111,GovTech Global Partners,3250000.00,2024-03-01T16:05:44,77 Federal Plaza Washington,0,Marcus Sterling,Pending Review,
BID-2024-013,TND-905,Electric Transit Bus Fleet Conversion Phase 2,Public Transit Fleet,2024-Q2,VND-112,VoltMotion Mobility,18200000.00,2024-04-10T11:20:00,450 EV Blvd Detroit,1,Elena Rostova,Pending Review,
BID-2024-014,TND-905,Electric Transit Bus Fleet Conversion Phase 2,Public Transit Fleet,2024-Q2,VND-113,GreenTransit Motors,18950000.00,2024-04-10T13:40:11,120 CleanWay Chicago,0,Elena Rostova,Pending Review,
